Date : 2022-09-16 20:20:54
Directory : d:\workspace\playground\vscode\src
Total : 3617 files,  821382 codes, 99587 comments, 157398 blanks, all 1078367 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| vs\editor\contrib\wordPartOperations\test                                                                                                     |          2 |        211 |          8 |         21 |        240 |
| vs\editor\contrib\wordPartOperations\test\browser                                                                                             |          2 |        211 |          8 |         21 |        240 |
| vs\editor\contrib\zoneWidget                                                                                                                  |          2 |        427 |         20 |         96 |        543 |
| vs\editor\contrib\zoneWidget\browser                                                                                                          |          2 |        427 |         20 |         96 |        543 |
| vs\editor\standalone                                                                                                                          |         34 |      5,847 |        959 |      1,102 |      7,908 |
| vs\editor\standalone\browser                                                                                                                  |         25 |      3,760 |        650 |        753 |      5,163 |
| vs\editor\standalone\browser\accessibilityHelp                                                                                                |          2 |        317 |         10 |         70 |        397 |
| vs\editor\standalone\browser\iPadShowKeyboard                                                                                                 |          4 |        110 |          9 |         30 |        149 |
| vs\editor\standalone\browser\inspectTokens                                                                                                    |          2 |        325 |          9 |         57 |        391 |
| vs\editor\standalone\browser\quickAccess                                                                                                      |          4 |        181 |         16 |         39 |        236 |
| vs\editor\standalone\browser\quickInput                                                                                                       |          2 |        187 |         11 |         54 |        252 |
| vs\editor\standalone\browser\referenceSearch                                                                                                  |          1 |         32 |          4 |          5 |         41 |
| vs\editor\standalone\browser\toggleHighContrast                                                                                               |          1 |         30 |          5 |          7 |         42 |
| vs\editor\standalone\common                                                                                                                   |          6 |      1,592 |        293 |        278 |      2,163 |
| vs\editor\standalone\common\monarch                                                                                                           |          4 |      1,348 |        277 |        223 |      1,848 |
| vs\editor\standalone\test                                                                                                                     |          3 |        495 |         16 |         71 |        582 |
| vs\editor\standalone\test\browser                                                                                                             |          3 |        495 |         16 |         71 |        582 |
| vs\editor\test                                                                                                                                |         96 |     35,882 |      1,138 |      4,879 |     41,899 |
| vs\editor\test\browser                                                                                                                        |         27 |     14,526 |        356 |      2,005 |     16,887 |
| vs\editor\test\browser\commands                                                                                                               |          3 |      1,830 |         41 |        102 |      1,973 |
| vs\editor\test\browser\config                                                                                                                 |          3 |      1,585 |         13 |        233 |      1,831 |
| vs\editor\test\browser\controller                                                                                                             |          9 |      8,048 |        201 |      1,234 |      9,483 |
| vs\editor\test\browser\services                                                                                                               |          2 |        363 |         15 |         74 |        452 |
| vs\editor\test\browser\view                                                                                                                   |          2 |        755 |         10 |        114 |        879 |
| vs\editor\test\browser\viewModel                                                                                                              |          4 |      1,447 |         45 |        146 |      1,638 |
| vs\editor\test\browser\widget                                                                                                                 |          1 |        170 |          4 |         49 |        223 |
| vs\editor\test\common                                                                                                                         |         67 |     21,221 |        740 |      2,837 |     24,798 |
| vs\editor\test\common\controller                                                                                                              |          2 |        343 |          9 |         34 |        386 |
| vs\editor\test\common\core                                                                                                                    |          5 |        466 |         26 |         98 |        590 |
| vs\editor\test\common\diff                                                                                                                    |          2 |      1,064 |         24 |         90 |      1,178 |
| vs\editor\test\common\model                                                                                                                   |         27 |     11,726 |        284 |      1,637 |     13,647 |
| vs\editor\test\common\model\bracketPairColorizer                                                                                              |          7 |        933 |         40 |        174 |      1,147 |
| vs\editor\test\common\model\linesTextBuffer                                                                                                   |          3 |        647 |         12 |         77 |        736 |
| vs\editor\test\common\model\pieceTreeTextBuffer                                                                                               |          1 |      1,634 |         24 |        250 |      1,908 |
| vs\editor\test\common\modes                                                                                                                   |         11 |      1,395 |        131 |        218 |      1,744 |
| vs\editor\test\common\modes\supports                                                                                                          |          6 |        655 |         74 |        108 |        837 |
| vs\editor\test\common\services                                                                                                                |         11 |      1,631 |         86 |        339 |      2,056 |
| vs\editor\test\common\view                                                                                                                    |          1 |         70 |          7 |         12 |         89 |
| vs\editor\test\common\viewLayout                                                                                                              |          3 |      3,808 |        132 |        313 |      4,253 |
| vs\editor\test\common\viewModel                                                                                                               |          3 |        603 |         33 |         79 |        715 |
| vs\editor\test\node                                                                                                                           |          2 |        135 |         42 |         37 |        214 |
| vs\editor\test\node\classification                                                                                                            |          2 |        135 |         42 |         37 |        214 |
| vs\platform                                                                                                                                   |        488 |     81,356 |     10,543 |     18,314 |    110,213 |
| vs\platform\accessibility                                                                                                                     |          3 |        128 |         17 |         40 |        185 |
| vs\platform\accessibility\browser                                                                                                             |          1 |         90 |          6 |         23 |        119 |
| vs\platform\accessibility\common                                                                                                              |          1 |         25 |          7 |         11 |         43 |
| vs\platform\accessibility\test                                                                                                                |          1 |         13 |          4 |          6 |         23 |
| vs\platform\accessibility\test\common                                                                                                         |          1 |         13 |          4 |          6 |         23 |
| vs\platform\action                                                                                                                            |          1 |         23 |         13 |         10 |         46 |
| vs\platform\action\common                                                                                                                     |          1 |         23 |         13 |         10 |         46 |
| vs\platform\actions                                                                                                                           |          9 |      1,643 |        182 |        332 |      2,157 |
| vs\platform\actions\browser                                                                                                                   |          4 |        692 |         93 |        128 |        913 |
| vs\platform\actions\common                                                                                                                    |          4 |        790 |         83 |        156 |      1,029 |
| vs\platform\actions\test                                                                                                                      |          1 |        161 |          6 |         48 |        215 |
| vs\platform\actions\test\common                                                                                                               |          1 |        161 |          6 |         48 |        215 |
| vs\platform\assignment                                                                                                                        |          2 |        152 |         58 |         39 |        249 |
| vs\platform\assignment\common                                                                                                                 |          2 |        152 |         58 |         39 |        249 |
| vs\platform\backup                                                                                                                            |          5 |        971 |         78 |        228 |      1,277 |
| vs\platform\backup\common                                                                                                                     |          1 |         17 |          4 |          7 |         28 |
| vs\platform\backup\electron-main                                                                                                              |          2 |        333 |         48 |         98 |        479 |
| vs\platform\backup\node                                                                                                                       |          1 |         62 |          6 |         14 |         82 |
| vs\platform\backup\test                                                                                                                       |          1 |        559 |         20 |        109 |        688 |
| vs\platform\backup\test\electron-main                                                                                                         |          1 |        559 |         20 |        109 |        688 |
| vs\platform\checksum                                                                                                                          |          3 |         55 |         15 |         22 |         92 |
| vs\platform\checksum\common                                                                                                                   |          1 |          7 |          7 |          6 |         20 |
| vs\platform\checksum\node                                                                                                                     |          1 |         20 |          4 |          7 |         31 |
| vs\platform\checksum\test                                                                                                                     |          1 |         28 |          4 |          9 |         41 |
| vs\platform\checksum\test\node                                                                                                                |          1 |         28 |          4 |          9 |         41 |
| vs\platform\clipboard                                                                                                                         |          3 |        139 |         62 |         61 |        262 |
| vs\platform\clipboard\browser                                                                                                                 |          1 |         97 |         33 |         35 |        165 |
| vs\platform\clipboard\common                                                                                                                  |          1 |         13 |         25 |         12 |         50 |
| vs\platform\clipboard\test                                                                                                                    |          1 |         29 |          4 |         14 |         47 |
| vs\platform\clipboard\test\common                                                                                                             |          1 |         29 |          4 |         14 |         47 |
| vs\platform\commands                                                                                                                          |          2 |        173 |         13 |         45 |        231 |
| vs\platform\commands\common                                                                                                                   |          1 |        118 |          7 |         28 |        153 |
| vs\platform\commands\test                                                                                                                     |          1 |         55 |          6 |         17 |         78 |
| vs\platform\commands\test\common                                                                                                              |          1 |         55 |          6 |         17 |         78 |
| vs\platform\configuration                                                                                                                     |         11 |      3,264 |        199 |        671 |      4,134 |
| vs\platform\configuration\common                                                                                                              |          5 |      1,842 |        172 |        315 |      2,329 |
| vs\platform\configuration\test                                                                                                                |          6 |      1,422 |         27 |        356 |      1,805 |
| vs\platform\configuration\test\common                                                                                                         |          6 |      1,422 |         27 |        356 |      1,805 |
| vs\platform\contextkey                                                                                                                        |          5 |      2,296 |         75 |        490 |      2,861 |
| vs\platform\contextkey\browser                                                                                                                |          1 |        510 |         22 |        114 |        646 |
| vs\platform\contextkey\common                                                                                                                 |          2 |      1,370 |         41 |        314 |      1,725 |
| vs\platform\contextkey\test                                                                                                                   |          2 |        416 |         12 |         62 |        490 |
| vs\platform\contextkey\test\browser                                                                                                           |          1 |        120 |          4 |         27 |        151 |
| vs\platform\contextkey\test\common                                                                                                            |          1 |        296 |          8 |         35 |        339 |
| vs\platform\contextview                                                                                                                       |          4 |        248 |         22 |         77 |        347 |
| vs\platform\contextview\browser                                                                                                               |          4 |        248 |         22 |         77 |        347 |
| vs\platform\credentials                                                                                                                       |          4 |        296 |         52 |         70 |        418 |
| vs\platform\credentials\common                                                                                                                |          2 |        227 |         36 |         53 |        316 |
| vs\platform\credentials\electron-main                                                                                                         |          1 |         34 |          7 |          9 |         50 |
| vs\platform\credentials\node                                                                                                                  |          1 |         35 |          9 |          8 |         52 |
| vs\platform\debug                                                                                                                             |          3 |        198 |         17 |         56 |        271 |
| vs\platform\debug\common                                                                                                                      |          2 |        107 |         11 |         34 |        152 |
| vs\platform\debug\electron-main                                                                                                               |          1 |         91 |          6 |         22 |        119 |
| vs\platform\diagnostics                                                                                                                       |          4 |        711 |         27 |        137 |        875 |
| vs\platform\diagnostics\common                                                                                                                |          1 |        111 |          4 |         25 |        140 |
| vs\platform\diagnostics\electron-main                                                                                                         |          1 |        106 |          5 |         24 |        135 |
| vs\platform\diagnostics\electron-sandbox                                                                                                      |          1 |          3 |          4 |          3 |         10 |
| vs\platform\diagnostics\node                                                                                                                  |          1 |        491 |         14 |         85 |        590 |
| vs\platform\dialogs                                                                                                                           |          3 |        367 |        197 |        142 |        706 |
| vs\platform\dialogs\common                                                                                                                    |          1 |        159 |        172 |         74 |        405 |
| vs\platform\dialogs\electron-main                                                                                                             |          1 |        185 |         21 |         58 |        264 |
| vs\platform\dialogs\test                                                                                                                      |          1 |         23 |          4 |         10 |         37 |
| vs\platform\dialogs\test\common                                                                                                               |          1 |         23 |          4 |         10 |         37 |
| vs\platform\dnd                                                                                                                               |          1 |        244 |         41 |         61 |        346 |
| vs\platform\dnd\browser                                                                                                                       |          1 |        244 |         41 |         61 |        346 |
| vs\platform\download                                                                                                                          |          3 |         64 |         13 |         23 |        100 |
| vs\platform\download\common                                                                                                                   |          3 |         64 |         13 |         23 |        100 |
| vs\platform\driver                                                                                                                            |          3 |        205 |         18 |         65 |        288 |
| vs\platform\driver\browser                                                                                                                    |          1 |        158 |          7 |         52 |        217 |
| vs\platform\driver\common                                                                                                                     |          1 |         32 |          7 |          6 |         45 |
| vs\platform\driver\electron-sandbox                                                                                                           |          1 |         15 |          4 |          7 |         26 |
| vs\platform\editor                                                                                                                            |          1 |         84 |        225 |         65 |        374 |
| vs\platform\editor\common                                                                                                                     |          1 |         84 |        225 |         65 |        374 |
| vs\platform\encryption                                                                                                                        |          2 |         38 |          8 |         15 |         61 |
| vs\platform\encryption\common                                                                                                                 |          1 |          8 |          4 |          8 |         20 |
| vs\platform\encryption\node                                                                                                                   |          1 |         30 |          4 |          7 |         41 |
| vs\platform\environment                                                                                                                       |         15 |      1,225 |        229 |        275 |      1,729 |
| vs\platform\environment\common                                                                                                                |          3 |        369 |         97 |         97 |        563 |
| vs\platform\environment\electron-main                                                                                                         |          1 |         36 |         13 |         19 |         68 |
| vs\platform\environment\node                                                                                                                  |          7 |        533 |         99 |         99 |        731 |
| vs\platform\environment\test                                                                                                                  |          4 |        287 |         20 |         60 |        367 |
| vs\platform\environment\test\node                                                                                                             |          4 |        287 |         20 |         60 |        367 |
| vs\platform\extensionManagement                                                                                                               |         31 |      6,311 |        440 |      1,008 |      7,759 |
| vs\platform\extensionManagement\common                                                                                                        |         15 |      4,134 |        319 |        634 |      5,087 |
| vs\platform\extensionManagement\electron-main                                                                                                 |          1 |         46 |          6 |          6 |         58 |
| vs\platform\extensionManagement\electron-sandbox                                                                                              |          2 |        312 |         27 |         45 |        384 |
| vs\platform\extensionManagement\node                                                                                                          |          8 |      1,188 |         54 |        202 |      1,444 |
| vs\platform\extensionManagement\test                                                                                                          |          5 |        631 |         34 |        121 |        786 |
| vs\platform\extensionManagement\test\common                                                                                                   |          4 |        355 |         30 |         59 |        444 |
| vs\platform\extensionManagement\test\node                                                                                                     |          1 |        276 |          4 |         62 |        342 |
| vs\platform\extensionRecommendations                                                                                                          |          2 |         57 |          8 |         26 |         91 |
| vs\platform\extensionRecommendations\common                                                                                                   |          1 |         28 |          4 |         10 |         42 |
| vs\platform\extensionRecommendations\electron-sandbox                                                                                         |          1 |         29 |          4 |         16 |         49 |
| vs\platform\extensions                                                                                                                        |          5 |      1,375 |         84 |        240 |      1,699 |
| vs\platform\extensions\common                                                                                                                 |          3 |        679 |         55 |        124 |        858 |
| vs\platform\extensions\electron-main                                                                                                          |          1 |        334 |         18 |         66 |        418 |
| vs\platform\extensions\test                                                                                                                   |          1 |        362 |         11 |         50 |        423 |
| vs\platform\extensions\test\common                                                                                                            |          1 |        362 |         11 |         50 |        423 |
| vs\platform\externalServices                                                                                                                  |          2 |         55 |          9 |         12 |         76 |
| vs\platform\externalServices\common                                                                                                           |          2 |         55 |          9 |         12 |         76 |
| vs\platform\externalTerminal                                                                                                                  |          4 |        492 |         37 |         84 |        613 |
| vs\platform\externalTerminal\common                                                                                                           |          1 |         30 |          4 |         10 |         44 |
| vs\platform\externalTerminal\electron-main                                                                                                    |          1 |        191 |          4 |         12 |        207 |
| vs\platform\externalTerminal\electron-sandbox                                                                                                 |          1 |          8 |          4 |          5 |         17 |
| vs\platform\externalTerminal\node                                                                                                             |          1 |        263 |         25 |         57 |        345 |
| vs\platform\files                                                                                                                             |         44 |      9,269 |      1,755 |      2,726 |     13,750 |
| vs\platform\files\browser                                                                                                                     |          3 |        724 |         64 |        161 |        949 |
| vs\platform\files\common                                                                                                                      |          7 |      2,236 |        889 |        808 |      3,933 |
| vs\platform\files\electron-main                                                                                                               |          1 |         51 |          8 |         17 |         76 |
| vs\platform\files\node                                                                                                                        |          9 |      1,591 |        549 |        495 |      2,635 |
| vs\platform\files\node\watcher                                                                                                                |          7 |        889 |        384 |        278 |      1,551 |
| vs\platform\files\node\watcher\nodejs                                                                                                         |          3 |        423 |        140 |        137 |        700 |
| vs\platform\files\node\watcher\parcel                                                                                                         |          1 |        389 |        229 |        119 |        737 |
| vs\platform\files\test                                                                                                                        |         24 |      4,667 |        245 |      1,245 |      6,157 |
| vs\platform\files\test\browser                                                                                                                |          2 |        679 |          8 |        177 |        864 |
| vs\platform\files\test\common                                                                                                                 |          3 |        460 |         34 |        123 |        617 |
| vs\platform\files\test\node                                                                                                                   |         19 |      3,528 |        203 |        945 |      4,676 |
| vs\platform\files\test\node\fixtures                                                                                                          |         16 |        907 |         21 |         46 |        974 |
| vs\platform\files\test\node\fixtures\resolver                                                                                                 |         10 |        530 |         17 |         28 |        575 |
| vs\platform\files\test\node\fixtures\resolver\examples                                                                                        |          4 |        198 |          4 |          4 |        206 |
| vs\platform\files\test\node\fixtures\resolver\other                                                                                           |          4 |        198 |          4 |          4 |        206 |
| vs\platform\files\test\node\fixtures\resolver\other\deep                                                                                      |          4 |        198 |          4 |          4 |        206 |
| vs\platform\files\test\node\fixtures\service                                                                                                  |          6 |        377 |          4 |         18 |        399 |
| vs\platform\files\test\node\fixtures\service\deep                                                                                             |          4 |        198 |          4 |          4 |        206 |
| vs\platform\history                                                                                                                           |          2 |        115 |          9 |         26 |        150 |
| vs\platform\history\browser                                                                                                                   |          2 |        115 |          9 |         26 |        150 |
| vs\platform\instantiation                                                                                                                     |          9 |        987 |        114 |        263 |      1,364 |
| vs\platform\instantiation\common                                                                                                              |          6 |        472 |         79 |        127 |        678 |
| vs\platform\instantiation\test                                                                                                                |          3 |        515 |         35 |        136 |        686 |
| vs\platform\instantiation\test\common                                                                                                         |          3 |        515 |         35 |        136 |        686 |
| vs\platform\ipc                                                                                                                               |          3 |         94 |         22 |         41 |        157 |
| vs\platform\ipc\electron-browser                                                                                                              |          1 |         16 |          7 |          7 |         30 |
| vs\platform\ipc\electron-sandbox                                                                                                              |          2 |         78 |         15 |         34 |        127 |
| vs\platform\issue                                                                                                                             |          4 |        480 |         30 |        102 |        612 |
| vs\platform\issue\common                                                                                                                      |          2 |        112 |         12 |         20 |        144 |
| vs\platform\issue\electron-main                                                                                                               |          1 |        362 |         14 |         78 |        454 |
| vs\platform\issue\electron-sandbox                                                                                                            |          1 |          6 |          4 |          4 |         14 |
| vs\platform\jsonschemas                                                                                                                       |          1 |         43 |         14 |         24 |         81 |
| vs\platform\jsonschemas\common                                                                                                                |          1 |         43 |         14 |         24 |         81 |
| vs\platform\keybinding                                                                                                                        |         11 |      2,097 |        171 |        373 |      2,641 |
| vs\platform\keybinding\common                                                                                                                 |          7 |      1,100 |        103 |        207 |      1,410 |
| vs\platform\keybinding\test                                                                                                                   |          4 |        997 |         68 |        166 |      1,231 |
| vs\platform\keybinding\test\common                                                                                                            |          4 |        997 |         68 |        166 |      1,231 |
| vs\platform\keyboardLayout                                                                                                                    |          5 |        308 |         27 |         63 |        398 |
| vs\platform\keyboardLayout\common                                                                                                             |          4 |        259 |         17 |         48 |        324 |
| vs\platform\keyboardLayout\electron-main                                                                                                      |          1 |         49 |         10 |         15 |         74 |
| vs\platform\label                                                                                                                             |          1 |         37 |         15 |         11 |         63 |
| vs\platform\label\common                                                                                                                      |          1 |         37 |         15 |         11 |         63 |
| vs\platform\languagePacks                                                                                                                     |          4 |        294 |         23 |         46 |        363 |
| vs\platform\languagePacks\browser                                                                                                             |          1 |          6 |          5 |          3 |         14 |
| vs\platform\languagePacks\common                                                                                                              |          2 |         95 |         13 |         24 |        132 |
| vs\platform\languagePacks\node                                                                                                                |          1 |        193 |          5 |         19 |        217 |
| vs\platform\launch                                                                                                                            |          1 |        156 |         31 |         37 |        224 |
| vs\platform\launch\electron-main                                                                                                              |          1 |        156 |         31 |         37 |        224 |
| vs\platform\layout                                                                                                                            |          2 |         76 |         42 |         25 |        143 |
| vs\platform\layout\browser                                                                                                                    |          2 |         76 |         42 |         25 |        143 |
| vs\platform\lifecycle                                                                                                                         |          2 |        382 |        176 |        153 |        711 |
| vs\platform\lifecycle\common                                                                                                                  |          1 |         24 |          6 |          8 |         38 |
| vs\platform\lifecycle\electron-main                                                                                                           |          1 |        358 |        170 |        145 |        673 |
| vs\platform\list                                                                                                                              |          1 |      1,151 |         18 |        232 |      1,401 |
| vs\platform\list\browser                                                                                                                      |          1 |      1,151 |         18 |        232 |      1,401 |
| vs\platform\log                                                                                                                               |          7 |        941 |         61 |        222 |      1,224 |
| vs\platform\log\browser                                                                                                                       |          1 |         28 |          9 |          8 |         45 |
| vs\platform\log\common                                                                                                                        |          4 |        799 |         43 |        195 |      1,037 |
| vs\platform\log\node                                                                                                                          |          2 |        114 |          9 |         19 |        142 |
| vs\platform\markers                                                                                                                           |          3 |        585 |         33 |        126 |        744 |
| vs\platform\markers\common                                                                                                                    |          2 |        432 |         29 |         79 |        540 |
| vs\platform\markers\test                                                                                                                      |          1 |        153 |          4 |         47 |        204 |
| vs\platform\markers\test\common                                                                                                               |          1 |        153 |          4 |         47 |        204 |
| vs\platform\menubar                                                                                                                           |          4 |        731 |         67 |        172 |        970 |
| vs\platform\menubar\common                                                                                                                    |          1 |         50 |          4 |         15 |         69 |
